CODE COUNTY CODE1 COUNTY1
001 ADAMS  063 KIT CARSON 
003 ALAMOSA  065 LAKE 
005 ARAPAHOE  067 LA PLATA 
007 ARCHULETA  069 LARIMER 
009 BACA  071 LAS ANIMAS 
011 BENT  073 LINCOLN 
013 BOULDER  075 LOGAN 
014 BROOMFIELD  077 MESA 
015 CHAFFEE  079 MINERAL 
017 CHEYENNE  081 MOFFAT 
019 CLEAR CREEK  083 MONTEZUMA 
021 CONEJOS  085 MONTROSE 
023 COSTILLA  087 MORGAN 
025 CROWLEY  089 OTERO 
027 CUSTER  091 OURAY 
029 DELTA  093 PARK 
031 DENVER  095 PHILLIPS 
033 DOLORES  097 PITKIN 
035 DOUGLAS  099 PROWERS 
037 EAGLE  101 PUEBLO 
039 ELBERT  103 RIO BLANCO 
041 EL PASO  105 RIO GRANDE 
043 FREMONT  107 ROUTT 
045 GARFIELD  109 SAGUACHE 
047 GILPIN  111 SAN JUAN 
049 GRAND  113 SAN MIGUEL 
051 GUNNISON  115 SEDGWICK 
053 HINSDALE  117 SUMMIT 
055 HUERFANO  119 TELLER 
057 JACKSON  121 WASHINGTON 
059 JEFFERSON  123 WELD 
061 KIOWA  125 YUMA 
